image,dx1,dy1,dx2,dy2,dx3,dy3,dx4,dy4
07003_0.jpg,-28,-12,4,-5,20,24,16,16
07003_1.jpg,-23,-8,0,-1,-30,-22,-1,-29
07003_2.jpg,0,11,-31,31,-19,31,29,30
07004_0.jpg,-7,-17,-27,-18,11,-28,-28,29
07004_1.jpg,14,-18,18,-5,15,-23,28,0
07004_2.jpg,15,-15,17,22,29,-5,-16,-7
07005_0.jpg,5,6,-23,25,18,15,-17,11
07005_1.jpg,-4,28,-20,1,-27,-1,21,-13
07005_2.jpg,-15,25,-2,-9,-26,-23,24,28
07006_0.jpg,23,10,22,31,26,-29,30,12
07006_1.jpg,-21,19,-17,-8,-13,31,2,-20
07006_2.jpg,13,-21,9,-21,-28,-10,24,-30
07007_0.jpg,-16,-22,21,-23,-6,14,25,6
07007_1.jpg,-8,-10,29,7,29,-3,-24,-26
07007_2.jpg,5,10,-7,9,30,-13,-22,10
07010_0.jpg,27,-22,20,28,9,1,1,-27
07010_1.jpg,-25,10,-29,29,19,-6,-16,-19
07010_2.jpg,-17,12,-19,23,-22,-9,5,26
07011_0.jpg,-14,-12,-10,16,-30,25,-7,-11
07011_1.jpg,-14,-2,-31,-32,-27,-19,-22,-9
07011_2.jpg,-19,6,-32,-14,11,-14,-9,9
07012_0.jpg,-2,-26,-25,-17,26,-20,-5,30
07012_1.jpg,-3,5,-9,4,6,18,30,-21
07012_2.jpg,13,10,3,18,-14,16,18,-13
07013_0.jpg,-17,12,-21,12,20,-19,22,13
07013_1.jpg,28,-13,-23,28,-30,-25,-4,2
07013_2.jpg,-13,-15,5,-10,-29,-27,20,16
07015_0.jpg,-32,-28,18,3,27,11,1,-29
07015_1.jpg,-18,-18,-18,18,4,30,18,-10
07015_2.jpg,13,-23,19,17,-14,21,-1,-13
07016_0.jpg,-3,-10,9,15,-27,24,-6,29
07016_1.jpg,24,-21,11,24,6,-13,-15,-18
07016_2.jpg,-4,-15,3,22,31,-15,23,8
07017_0.jpg,6,-23,10,23,31,8,12,13
07017_1.jpg,25,-32,14,-27,-3,-26,-13,-11
07017_2.jpg,7,-6,-15,-9,-1,-2,8,-31
07018_0.jpg,-27,29,30,29,19,5,7,-3
07018_1.jpg,10,27,13,19,11,14,26,-19
07018_2.jpg,7,3,-21,-31,19,-26,10,-31
07019_0.jpg,-3,-13,28,-10,5,31,-1,29
07019_1.jpg,-7,28,-2,5,20,9,17,-12
07019_2.jpg,12,-19,21,-7,13,-24,17,31
07021_0.jpg,-10,-6,-7,6,1,-30,1,3
07021_1.jpg,20,-7,27,17,7,-27,25,4
07021_2.jpg,0,26,15,0,-2,-4,-25,23
07023_0.jpg,-10,-10,10,0,-18,-14,-17,11
07023_1.jpg,14,-2,-17,23,4,19,-19,10
07023_2.jpg,-30,-28,31,12,-32,17,0,-13
07024_0.jpg,23,-4,-2,18,-1,-5,-32,-23
07024_1.jpg,18,-22,27,6,-20,-28,11,21
07024_2.jpg,4,-8,27,-1,-23,12,29,-16
07025_0.jpg,-1,-5,-5,2,-1,17,-3,-30
07025_1.jpg,-32,12,-12,-12,-32,-7,-1,-26
07025_2.jpg,-25,3,21,-30,29,19,-26,27
07026_0.jpg,29,-15,-8,-5,13,17,17,-18
07026_1.jpg,31,30,-20,-26,-31,10,-3,7
07026_2.jpg,-25,-16,5,-13,-8,1,4,-23
07027_0.jpg,-24,1,-31,22,0,-20,-13,16
07027_1.jpg,-26,0,-17,23,-1,17,-26,7
07027_2.jpg,25,-30,3,-2,28,-16,-24,-16
07028_0.jpg,19,-4,17,2,9,23,-22,-7
07028_1.jpg,-28,-20,-5,3,-12,-2,4,16
07028_2.jpg,-24,28,-25,26,5,23,25,21
07032_0.jpg,-30,24,-30,25,-13,20,-15,-25
07032_1.jpg,21,-26,26,-14,-14,6,-11,2
07032_2.jpg,-12,9,-8,-15,15,-5,-28,-29
07033_0.jpg,15,-8,-5,-20,-12,-31,-6,4
07033_1.jpg,-31,7,-22,28,-11,-21,-2,-5
07033_2.jpg,-2,4,3,0,-8,20,17,31
07035_0.jpg,1,20,-1,-28,-15,5,-18,-14
07035_1.jpg,22,14,10,14,11,7,25,9
07035_2.jpg,-10,-7,-10,25,-22,23,-8,-25
07036_0.jpg,3,15,-30,14,1,-26,27,19
07036_1.jpg,-3,6,-9,19,5,7,4,30
07036_2.jpg,7,3,-14,-8,23,-26,-1,1
07037_0.jpg,7,4,10,25,-17,-10,-5,24
07037_1.jpg,-29,-1,5,7,-8,-16,-7,2
07037_2.jpg,-14,28,-30,2,25,4,-32,-23
07041_0.jpg,-5,20,-26,25,-9,-12,5,-8
07041_1.jpg,4,16,23,-26,7,-8,5,-1
07041_2.jpg,11,20,-13,-32,-17,28,6,-1
07042_0.jpg,16,8,-31,13,12,-23,-3,10
07042_1.jpg,-12,22,1,23,8,10,-29,13
07042_2.jpg,19,0,18,14,-26,-30,15,-24
07043_0.jpg,28,17,17,22,-6,30,-7,1
07043_1.jpg,-21,12,-20,-24,8,2,7,9
07043_2.jpg,-9,0,24,-31,1,24,-24,27
07044_0.jpg,-23,-16,-9,-25,6,-2,-21,-5
07044_1.jpg,29,-8,-8,-28,-1,-32,6,-8
07044_2.jpg,25,11,4,23,2,-7,7,-10
07045_0.jpg,21,-3,-29,5,3,-21,-24,-24
07045_1.jpg,18,0,-24,4,27,-20,27,14
07045_2.jpg,-3,25,17,-25,-16,1,23,2
07046_0.jpg,-4,13,-27,19,-19,-10,-13,17
07046_1.jpg,28,-15,4,30,-12,1,26,-8
07046_2.jpg,-24,-17,5,14,23,1,25,-12
07047_0.jpg,-10,2,-7,-10,-18,-30,-9,28
07047_1.jpg,5,-5,-23,-10,-24,4,22,-19
07047_2.jpg,-27,19,7,16,22,-8,14,-11
07048_0.jpg,-16,-2,-30,24,-32,1,17,-30
07048_1.jpg,-25,-13,-12,-19,1,22,21,-5
07048_2.jpg,13,-19,-26,-16,10,-14,-32,2
07052_0.jpg,-13,23,11,-13,-14,-23,-1,-23
07052_1.jpg,30,30,8,6,-25,19,29,16
07052_2.jpg,26,5,29,-13,-12,4,2,28
07055_0.jpg,-25,2,5,13,10,-22,-32,-1
07055_1.jpg,28,-5,14,11,16,-29,26,15
07055_2.jpg,-26,-1,-29,-23,-7,17,-9,-7
07056_0.jpg,-15,18,-31,-7,-26,8,-6,-19
07056_1.jpg,20,-15,9,-3,16,23,-9,-10
07056_2.jpg,11,21,7,2,16,-15,19,-31
07058_0.jpg,-21,-9,19,-5,-4,29,6,-22
07058_1.jpg,4,3,0,14,5,31,22,-22
07058_2.jpg,19,-25,-12,1,6,22,17,26
07063_0.jpg,6,23,13,31,11,22,31,0
07063_1.jpg,-17,3,-12,-30,3,-21,-18,10
07063_2.jpg,-12,-16,16,-17,-18,10,-6,-20
